framework,model,exp_num,proving_time,memory_usage,cpu_usage
ezkl,mlp,1,0.27,17536,465%
o1js,mlp,1,110.14,736084,493%
ezkl,mlp,2,0.36,18176,474%
o1js,mlp,2,115.93,735512,495%
ezkl,mlp,3,0.51,19288,480%
o1js,mlp,3,110.40,737200,494%
ezkl,mlp,4,0.81,21052,483%
o1js,mlp,4,110.00,736288,492%
ezkl,mlp,5,0.98,21492,480%
o1js,mlp,5,111.00,736680,484%
ezkl,mlp,6,1.51,25272,473%
o1js,mlp,6,110.72,737212,491%
ezkl,mlp,7,2.74,33668,462%
o1js,mlp,7,110.44,737172,490%
ezkl,mlp,8,7.11,74256,453%
o1js,mlp,8,112.48,824332,488%
ezkl,mlp,9,11.70,97976,453%
o1js,mlp,9,116.08,735648,487%
ezkl,mlp,10,21.69,146360,457%
o1js,mlp,10,112.98,740628,488%
ezkl,mlp,11,41.89,265636,451%
o1js,mlp,11,111.00,752912,477%
ezkl,mlp,12,80.47,505544,470%
o1js,mlp,12,111.79,738556,475%
o1js,mlp,13,125.65,783652,470%
o1js,mlp,14,131.37,781456,432%
o1js,mlp,15,140.56,780812,376%
o1js,mlp,16,153.21,763636,303%
o1js,mlp,17,172.99,869504,242%
o1js,mlp,18,217.56,785568,190%
